State,Year,annual_rainfall_mm
,1917,1639.3
,1918,930.5
,1919,1747.1
,1920,899.5
,1921,1132.1
,1922,1238.0
,1923,1443.9
,1924,1315.3
,1925,1354.5
,1926,1726.8
,1927,1235.9
,1928,1106.9
,1929,1247.4
,1930,1203.9
,1931,1342.2
,1932,1150.9
,1933,1368.4
,1934,1473.3
,1935,1279.9
,1936,1504.2
,1937,1398.0
,1938,1373.8
,1939,1347.2
,1940,1192.8
,1941,828.1
,1942,1508.4
,1943,1382.4
,1944,1427.0
,1945,1286.3
,1946,1494.3
,1947,1419.5
,1948,1430.4
,1949,1235.5
,1950,1177.9
,1951,1175.6
,1952,1155.3
,1953,1007.1
,1954,1076.7
,1955,1421.0
,1956,1515.8
,1957,1000.8
,1958,1171.6
,1959,1302.4
,1960,1252.0
,1961,1598.8
,1962,1068.4
,1963,1120.1
,1964,1187.3
,1965,697.8
,1966,849.1
,1967,1407.8
,1968,973.6
,1969,1242.1
,1970,1342.2
,1971,1518.7
,1972,1038.3
,1973,1252.3
,1974,971.1
,1975,1434.5
,1976,1055.6
,1977,1372.2
,1978,1392.6
,1979,809.8
,1980,1369.2
,1981,1036.0
,1982,1297.3
,1983,1275.5
,1984,1110.6
,1985,1115.4
,1986,1029.2
,1987,1116.1
,1988,1069.4
,1989,920.9
,1990,1380.0
,1991,1016.9
,1992,1051.1
,1993,1118.9
,1994,1533.7
,1995,1032.3
,1996,986.6
,1997,1357.1
,1998,1013.4
,1999,1443.9
,2000,874.2
,2001,1170.1
,2002,950.2
,2003,1438.1
,2004,955.3
,2005,1366.4
,2006,943.4
,2007,653.8
,2008,1003.2
,2009,943.9
,2010,960.4
,2011,1275.2
,2012,1053.1
,2013,1521.9
,2014,924.9
,2015,939.2
,2016,1340.0
,2017,840.1
,1901,554.3
,1902,863.9
,1903,887.6
,1904,492.6
,1905,811.5
,1906,890.6
,1907,997.0
,1908,1027.5
,1909,977.8
,1910,974.6
,1911,403.5
,1912,1118.5
,1913,1162.6
,1914,1107.5
,1915,567.3
,1916,952.9
,1917,1524.9
,1918,392.6
,1919,1067.4
,1920,708.9
,1921,1172.8
,1922,878.7
,1923,553.2
,1924,909.6
,1925,593.1
,1926,1274.5
,1927,1422.1
,1928,821.0
,1929,676.3
,1930,894.7
,1931,1104.6
,1932,906.6
,1933,1137.1
,1934,979.6
,1935,756.9
,1936,609.3
,1937,1203.1
,1938,814.9
,1939,605.6
,1940,870.1
,1941,961.8
,1942,1186.8
,1943,912.8
,1944,1340.6
,1945,1277.0
,1946,1147.7
,1947,783.4
,1948,473.9
,1949,800.3
,1950,1129.3
,1951,478.3
,1952,776.6
,1953,1055.5
,1954,1248.0
,1955,975.7
,1956,1366.6
,1957,647.8
,1958,1123.1
,1959,1560.7
,1960,649.6
,1961,945.1
,1962,773.0
,1963,997.9
,1964,892.7
,1965,656.7
,1966,696.7
,1967,938.7
,1968,668.0
,1969,789.0
,1970,1353.8
,1971,769.2
,1972,503.8
,1973,1159.6
,1974,421.3
,1975,1192.7
,1976,1620.1
,1977,1307.7
,1978,935.8
,1979,904.5
,1980,822.0
,1981,1114.2
,1982,758.3
,1983,1213.9
,1984,853.6
,1985,589.7
,1986,501.8
,1987,401.9
,1988,1097.4
,1989,822.8
,1990,1118.4
,1991,672.7
,1992,901.1
,1993,941.4
,1994,1534.5
,1995,684.3
,1996,902.8
,1997,1068.9
,1998,1070.0
,1999,568.4
,2000,550.6
,2001,849.0
,2002,637.2
,2003,1160.3
,2004,1005.8
,2005,1316.4
,2006,1478.0
,2007,1178.9
,2008,911.1
,2009,641.6
,2010,1088.7
,2011,890.5
,2012,714.0
,2013,1118.6
,2014,705.7
,2015,622.9
,2016,764.9
,2017,1024.4
,1901,908.7
,1902,744.1
,1903,1032.6
,1904,690.5
,1905,505.9
,1906,770.7
,1907,557.9
,1908,682.5
,1909,892.7
,1910,1134.4
,1911,612.4
,1912,488.4
,1913,656.5
,1914,989.1
,1915,1001.6
,1916,1177.9
,1917,1168.3
,1918,486.1
,1919,662.8
,1920,361.2
,1921,562.4
,1922,836.1
,1923,765.0
,1924,662.7
,1925,604.9
,1926,715.5
,1927,744.6
,1928,825.8
,1929,609.4
,1930,640.3
,1931,1088.6
,1932,844.1
,1933,1122.9
,1934,876.6
,1935,922.1
,1936,727.8
,1937,738.2
,1938,1072.7
,1939,580.2
,1940,855.6
,1941,541.0
,1942,1003.0
,1943,852.4
,1944,759.0
,1945,622.5
,1946,848.7
,1947,854.8
,1948,946.4
,1949,914.2
,1950,657.4
,1951,731.4
,1952,546.1
,1953,891.2
,1954,899.6
,1955,1151.3
,1956,1037.3
,1957,900.7
,1958,1024.6
,1959,950.3
,1960,738.3
,1961,959.0
,1962,945.7
,1963,1001.2
,1964,780.6
,1965,631.4
,1966,747.1
,1967,759.8
,1968,712.4
,1969,824.6
,1970,910.9
,1971,607.9
,1972,347.1
,1973,871.3
,1974,650.6
,1975,1050.9
,1976,623.0
,1977,767.7
,1978,784.8
,1979,807.6
,1980,812.9
,1981,786.6
,1982,636.5
,1983,1187.6
,1984,552.7
,1985,575.4
,1986,562.9
,1987,786.2
,1988,1170.0
,1989,1068.3
,1990,1198.1
,1991,601.0
,1992,726.6
,1993,806.3
,1994,583.8
,1995,809.5
,1996,855.0
,1997,790.5
,1998,1126.7
,1999,767.6
,2000,684.4
,2001,732.4
,2002,722.1
,2003,720.1
,2004,678.7
,2005,940.5
,2006,872.9
,2007,714.6
,2008,646.3
,2009,668.9
,2010,1011.6
,2011,663.5
,2012,526.7
,2013,888.0
,2014,548.9
,2015,532.2
,2016,949.0
,2017,755.6
,1901,1093.3
,1902,748.9
,1903,1229.4
,1904,753.2
,1905,941.8
,1906,1191.2
,1907,1010.8
,1908,1243.4
,1909,1061.6
,1910,1294.0
,1911,982.8
,1912,1014.0
,1913,1052.6
,1914,1199.0
,1915,1199.6
,1916,1362.3
,1917,1396.9
,1918,801.4
,1919,1212.6
,1920,578.5
,1921,1085.6
,1922,1109.8
,1923,941.3
,1924,994.2
,1925,941.1
,1926,1071.1
,1927,1167.4
,1928,1017.5
,1929,912.5
,1930,983.1
,1931,1404.2
,1932,1130.5
,1933,1502.3
,1934,1218.3
,1935,1158.0
,1936,1451.2
,1937,1319.1
,1938,1460.9
,1939,881.9
,1940,1357.5
,1941,828.9
,1942,1341.7
,1943,1018.2
,1944,1367.8
,1945,1199.4
,1946,1173.0
,1947,1168.3
,1948,1182.8
,1949,1398.3
,1950,793.5
,1951,1082.3
,1952,807.7
,1953,1137.8
,1954,1100.4
,1955,1368.7
,1956,1124.6
,1957,1070.9
,1958,1172.2
,1959,1606.3
,1960,1065.0
,1961,1440.8
,1962,1152.6
,1963,1147.8
,1964,1010.7
,1965,743.6
,1966,1002.9
,1967,1128.4
,1968,922.9
,1969,992.9
,1970,1240.6
,1971,882.4
,1972,740.8
,1973,1162.4
,1974,840.8
,1975,1324.1
,1976,974.6
,1977,1068.0
,1978,1249.4
,1979,1087.2
,1980,1042.6
,1981,1218.6
,1982,856.1
,1983,1240.4
,1984,810.6
,1985,876.9
,1986,1157.0
,1987,822.6
,1988,1308.7
,1989,997.7
,1990,1505.0
,1991,838.7
,1992,1148.6
,1993,1023.0
,1994,1427.1
,1995,1077.5
,1996,855.0
,1997,1039.3
,1998,1061.7
,1999,1165.1
,2000,1105.2
,2001,1122.1
,2002,925.8
,2003,1018.6
,2004,731.9
,2005,1214.6
,2006,1215.6
,2007,1167.0
,2008,866.6
,2009,770.8
,2010,1338.1
,2011,893.2
,2012,1107.7
,2013,1520.0
,2014,919.1
,2015,993.8
,2016,1163.8
,2017,803.0
